2026-05-26 18:57:30,700 INFO  ExportHelperExtension.cs: 1402 - Fixing 93
2026-05-26 18:57:30,700 INFO  ExportHelperExtension.cs: 1409 - Component 93 is already fixed
2026-05-26 18:57:30,700 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2026-05-26 18:57:30,701 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2026-05-26 18:57:30,701 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:30,701 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2026-05-26 18:57:30,701 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2026-05-26 18:57:30,702 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2026-05-26 18:57:30,702 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:30,702 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2026-05-26 18:57:30,702 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2026-05-26 18:57:30,703 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2026-05-26 18:57:30,703 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:30,703 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2026-05-26 18:57:30,703 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2026-05-26 18:57:30,703 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2026-05-26 18:57:30,704 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:30,704 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2026-05-26 18:57:30,951 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2026-05-26 18:57:30,952 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2026-05-26 18:57:30,952 INFO  ExportHelperExtension.cs: 849 - L1: 0
2026-05-26 18:57:30,952 INFO  ExportHelperExtension.cs: 857 - L2: 0
2026-05-26 18:57:30,979 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child middle failed
2026-05-26 18:57:31,054 INFO  ExportHelperExtension.cs: 347 - Creating joint ring
2026-05-26 18:57:31,055 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2026-05-26 18:57:31,055 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2026-05-26 18:57:31,055 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2026-05-26 18:57:31,055 INFO  ExportHelperExtension.cs: 1402 - Fixing 30
2026-05-26 18:57:31,056 INFO  ExportHelperExtension.cs: 1409 - Component 30 is already fixed
2026-05-26 18:57:31,056 INFO  ExportHelperExtension.cs: 1402 - Fixing 31
2026-05-26 18:57:31,056 INFO  ExportHelperExtension.cs: 1409 - Component 31 is already fixed
2026-05-26 18:57:31,057 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:31,057 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2026-05-26 18:57:31,057 INFO  ExportHelperExtension.cs: 1402 - Fixing 37
2026-05-26 18:57:31,057 INFO  ExportHelperExtension.cs: 1409 - Component 37 is already fixed
2026-05-26 18:57:31,058 INFO  ExportHelperExtension.cs: 1402 - Fixing 39
2026-05-26 18:57:31,058 INFO  ExportHelperExtension.cs: 1409 - Component 39 is already fixed
2026-05-26 18:57:31,058 INFO  ExportHelperExtension.cs: 1402 - Fixing 40
2026-05-26 18:57:31,058 INFO  ExportHelperExtension.cs: 1409 - Component 40 is already fixed
2026-05-26 18:57:31,059 INFO  ExportHelperExtension.cs: 1402 - Fixing 49
2026-05-26 18:57:31,059 INFO  ExportHelperExtension.cs: 1409 - Component 49 is already fixed
2026-05-26 18:57:31,059 INFO  ExportHelperExtension.cs: 1402 - Fixing 50
2026-05-26 18:57:31,059 INFO  ExportHelperExtension.cs: 1409 - Component 50 is already fixed
2026-05-26 18:57:31,060 INFO  ExportHelperExtension.cs: 1402 - Fixing 51
2026-05-26 18:57:31,060 INFO  ExportHelperExtension.cs: 1409 - Component 51 is already fixed
2026-05-26 18:57:31,060 INFO  ExportHelperExtension.cs: 1402 - Fixing 52
2026-05-26 18:57:31,060 INFO  ExportHelperExtension.cs: 1409 - Component 52 is already fixed
2026-05-26 18:57:31,060 INFO  ExportHelperExtension.cs: 1402 - Fixing 53
2026-05-26 18:57:31,061 INFO  ExportHelperExtension.cs: 1409 - Component 53 is already fixed
2026-05-26 18:57:31,061 INFO  ExportHelperExtension.cs: 1402 - Fixing 54
2026-05-26 18:57:31,061 INFO  ExportHelperExtension.cs: 1409 - Component 54 is already fixed
2026-05-26 18:57:31,061 INFO  ExportHelperExtension.cs: 1402 - Fixing 55
2026-05-26 18:57:31,062 INFO  ExportHelperExtension.cs: 1409 - Component 55 is already fixed
2026-05-26 18:57:31,062 INFO  ExportHelperExtension.cs: 1402 - Fixing 56
2026-05-26 18:57:31,062 INFO  ExportHelperExtension.cs: 1409 - Component 56 is already fixed
2026-05-26 18:57:31,062 INFO  ExportHelperExtension.cs: 1402 - Fixing 57
2026-05-26 18:57:31,063 INFO  ExportHelperExtension.cs: 1409 - Component 57 is already fixed
2026-05-26 18:57:31,063 INFO  ExportHelperExtension.cs: 1402 - Fixing 58
2026-05-26 18:57:31,063 INFO  ExportHelperExtension.cs: 1409 - Component 58 is already fixed
2026-05-26 18:57:31,063 INFO  ExportHelperExtension.cs: 1402 - Fixing 93
2026-05-26 18:57:31,066 INFO  ExportHelperExtension.cs: 1409 - Component 93 is already fixed
2026-05-26 18:57:31,067 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2026-05-26 18:57:31,067 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2026-05-26 18:57:31,067 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:31,067 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2026-05-26 18:57:31,068 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
